reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R00001,polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate,C00404 + n C00001 <=> (n+1) C02174,Polyphosphate + n H2O <=> (n+1) Oligophosphate,['3.6.1.10'],C00404;C00001,C02174,1.0;None,None
R00002,reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); 16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin,16 C00002 + 16 C00001 + 8 C00138 <=> 8 C05359 + 16 C00009 + 16 C00008 + 8 C00139,16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin,['1.18.6.1'],C00002;C00001;C00138,C05359;C00009;C00008;C00139,16.0;16.0;8.0,8.0;16.0;16.0;8.0
R00004,diphosphate phosphohydrolase; pyrophosphate phosphohydrolase; Diphosphate + H2O <=> 2 Orthophosphate,C00013 + C00001 <=> 2 C00009,Diphosphate + H2O <=> 2 Orthophosphate,['3.6.1.1'],C00013;C00001,C00009,1.0;1.0,2.0
R00005,urea-1-carboxylate amidohydrolase; Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia,C01010 + C00001 <=> 2 C00011 + 2 C00014,Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia,['3.5.1.54'],C01010;C00001,C00011;C00014,1.0;1.0,2.0;2.0
R00006,pyruvate:pyruvate acetaldehydetransferase (decarboxylating); 2-acetolactate pyruvate-lyase (carboxylating); 2-Acetolactate + CO2 <=> 2 Pyruvate,C00900 + C00011 <=> 2 C00022,2-Acetolactate + CO2 <=> 2 Pyruvate,['2.2.1.6'],C00900;C00011,C00022,1.0;1.0,2.0
R00008,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming); Parapyruvate <=> 2 Pyruvate,C06033 <=> 2 C00022,Parapyruvate <=> 2 Pyruvate,['4.1.3.17'],C06033,C00022,1.0,2.0
R00009,hydrogen-peroxide:hydrogen-peroxide oxidoreductase; 2 Hydrogen peroxide <=> Oxygen + 2 H2O,2 C00027 <=> C00007 + 2 C00001,2 Hydrogen peroxide <=> Oxygen + 2 H2O,"['1.11.1.6', '1.11.1.21']",C00027,C00007;C00001,2.0,1.0;2.0
R00010,"alpha,alpha-trehalose glucohydrolase; alpha,alpha-Trehalose + H2O <=> 2 D-Glucose",C01083 + C00001 <=> 2 C00031,"alpha,alpha-Trehalose + H2O <=> 2 D-Glucose",['3.2.1.28'],C01083;C00001,C00031,1.0;1.0,2.0
R00011,Mn(II):hydrogen-peroxide oxidoreductase; 2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O,2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001,2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O,['1.11.1.13       1.11.1.16'],C19610;C00027;C00080,C19611;C00001,2.0;1.0;2.0,2.0;2.0
R00012,"GTP:GTP guanylyltransferase; 2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate",2 C00044 <=> C00013 + C01261,"2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate",['2.7.7.45'],C00044,C00013;C01261,2.0,1.0;1.0
