ID,Name,Type,Layer,FC,P_value
A0A024QYR9,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (Phosphatase and tensin homolog)",Protein,Proteome,,
A0A068EW80,Protein PML,Protein,Proteome,,
A0A075F891,Heat shock transcription factor 1 alpha isoform,Protein,Proteome,,
A0A087WPF7,Autism susceptibility gene 2 protein homolog,Protein,Proteome,,
A0A087WPT2,Prostaglandin-endoperoxide synthase 2,Protein,Proteome,,
A0A087WRM3,Voltage-dependent L-type calcium channel subunit alpha,Protein,Proteome,,
A0A087WRT4,FAT atypical cadherin 1,Protein,Proteome,,
A0A088MLT8,IQCJ-SCHIP1 readthrough transcript protein,Protein,Proteome,,
A0A0A6YXR0,Choline/ethanolaminephosphotransferase 1 (EC 2.7.8.1) (EC 2.7.8.2) (EC 2.7.8.22) (1-alkenyl-2-acylglycerol choline phosphotransferase),Protein,Proteome,,
A0A0B4J1F4,Arrestin domain-containing protein 4,Protein,Proteome,,
A0A0B4J1G0,Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (CD16-2) (FcgammaRIV) (CD antigen CD16a),Protein,Proteome,,
A0A0B4J1N3,Protein GPR15LG (Protein GPR15 ligand) (Protein GPR15L),Protein,Proteome,,
A0A0G2JDK2,Glucosylceramidase (EC 3.2.1.45),Protein,Proteome,,
A0A0G2JDV3,Guanylate-binding protein 6 (EC 3.6.5.-) (GTP-binding protein 6) (GBP-6) (Guanine nucleotide-binding protein 6) (Macrophage activation 2 like protein),Protein,Proteome,,
A0A0G2JGS4,calcium/calmodulin-dependent protein kinase (EC 2.7.11.17),Protein,Proteome,,
A0A0N4SVP8,Eukaryotic initiation factor 4A-III (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3),Protein,Proteome,,
A0A0R4IZW4,Platelet-derived growth factor subunit B (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide),Protein,Proteome,,
A0A0R4IZW5,Cadherin-1 (Epithelial cadherin) (Uvomorulin),Protein,Proteome,,
A0A0R4IZY3,Fibroblast growth factor receptor (EC 2.7.10.1),Protein,Proteome,,
A0A0R4J008,Histone deacetylase 2 (HD2) (EC 3.5.1.98),Protein,Proteome,,
A0A0R4J083,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.8)",Protein,Proteome,,
A0A0R4J093,UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK),Protein,Proteome,,
A0A0R4J097,Transforming growth factor beta receptor type 3 (Betaglycan) (Transforming growth factor beta receptor III),Protein,Proteome,,
A0A0R4J0A9,Low-density lipoprotein receptor-related protein,Protein,Proteome,,
