,id,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
0,R00001,polyphosphate polyphosphohydrolase,C00404 + n C00001 <=> (n+1) C02174,Polyphosphate + n H2O <=> (n+1) Oligophosphate,3.6.1.10,"['C00404', 'C00001']",['C02174'],"[1, 'n']",['(n+1)']
1,R00002,Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),16 C00002 + 16 C00001 + 8 C00138 <=> 8 C05359 + 16 C00009 + 16 C00008 + 8 C00139,16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin,1.18.6.1,"['C00002', 'C00001', 'C00138']","['C05359', 'C00009', 'C00008', 'C00139']","['16', '16', '8']","['8', '16', '16', '8']"
2,R00004,diphosphate phosphohydrolase,C00013 + C00001 <=> 2 C00009,Diphosphate + H2O <=> 2 Orthophosphate,3.6.1.1,"['C00013', 'C00001']",['C00009'],"[1, 1]",['2']
3,R00005,urea-1-carboxylate amidohydrolase,C01010 + C00001 <=> 2 C00011 + 2 C00014,Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia,3.5.1.54,"['C01010', 'C00001']","['C00011', 'C00014']","[1, 1]","['2', '2']"
4,R00006,pyruvate:pyruvate acetaldehydetransferase (decarboxylating),C00900 + C00011 <=> 2 C00022,2-Acetolactate + CO2 <=> 2 Pyruvate,2.2.1.6,"['C00900', 'C00011']",['C00022'],"[1, 1]",['2']
5,R00008,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming),C06033 <=> 2 C00022,Parapyruvate <=> 2 Pyruvate,4.1.3.17,['C06033'],['C00022'],[1],['2']
6,R00009,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,2 C00027 <=> C00007 + 2 C00001,2 Hydrogen peroxide <=> Oxygen + 2 H2O,1.11.1.6        1.11.1.21,['C00027'],"['C00007', 'C00001']",['2'],"[1, '2']"
7,R00010,"alpha,alpha-trehalose glucohydrolase",C01083 + C00001 <=> 2 C00031,"alpha,alpha-Trehalose + H2O <=> 2 D-Glucose",3.2.1.28,"['C01083', 'C00001']",['C00031'],"[1, 1]",['2']
8,R00011,Mn(II):hydrogen-peroxide oxidoreductase,2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001,2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O,1.11.1.13       1.11.1.16,"['C19610', 'C00027', 'C00080']","['C19611', 'C00001']","['2', 1, '2']","['2', '2']"
9,R00012,GTP:GTP guanylyltransferase,2 C00044 <=> C00013 + C01261,"2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate",2.7.7.45,['C00044'],"['C00013', 'C01261']",['2'],"[1, 1]"
10,R00013,glyoxylate carboxy-lyase (dimerizing,2 C00048 <=> C01146 + C00011,2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2,4.1.1.47,['C00048'],"['C01146', 'C00011']",['2'],"[1, 1]"
11,R00014,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),C00022 + C00068 <=> C05125 + C00011,Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,1.2.4.1         2.2.1.6         4.1.1.1,"['C00022', 'C00068']","['C05125', 'C00011']","[1, 1]","[1, 1]"
12,R00015,sucrose:sucrose 1'-beta-D-fructosyltransferase,2 C00089 <=> C00031 + C03661,2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose,2.4.1.99,['C00089'],"['C00031', 'C03661']",['2'],"[1, 1]"
13,R00017,ferrocytochrome-c:hydrogen-peroxide oxidoreductase,C00027 + 2 C00126 <=> 2 C00125 + 2 C00001,Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O,1.11.1.5,"['C00027', 'C00126']","['C00125', 'C00001']","[1, '2']","['2', '2']"
14,R00018,putrescine:putrescine 4-aminobutyltransferase (ammonia-forming),2 C00134 <=> C06366 + C00014,2 Putrescine <=> sym-Homospermidine + Ammonia,2.5.1.44,['C00134'],"['C06366', 'C00014']",['2'],"[1, 1]"
15,R00019,hydrogen:ferredoxin oxidoreductase,2 C00138 + 2 C00080 <=> C00282 + 2 C00139,2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin,1.12.7.2        1.12.99.-,"['C00138', 'C00080']","['C00282', 'C00139']","['2', '2']","[1, '2']"
16,R00021,L-glutamate:ferredoxin oxidoreductase (transaminating),2 C00025 + 2 C00139 <=> C00064 + C00026 + 2 C00138 + 2 C00080,2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+,1.4.7.1,"['C00025', 'C00139']","['C00064', 'C00026', 'C00138', 'C00080']","['2', '2']","[1, 1, '2', '2']"
17,R00022,chitobiose N-acetylglucosaminohydrolase,C01674 + C00001 <=> 2 C00140,Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine,3.2.1.52,"['C01674', 'C00001']",['C00140'],"[1, 1]",['2']
18,R00023,hydroxylamine:NAD+ oxidoreductase,2 C00192 + 2 C00003 <=> C01818 + 2 C00004 + 2 C00080,2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+,1.7.1.5,"['C00192', 'C00003']","['C01818', 'C00004', 'C00080']","['2', '2']","[1, '2', '2']"
19,R00024,3-phospho-D-glycerate carboxy-lyase (dimerizing,C01182 + C00011 + C00001 <=> 2 C00197,"D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate",4.1.1.39,"['C01182', 'C00011', 'C00001']",['C00197'],"[1, 1, 1]",['2']
20,R00025,ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming),C18091 + C00007 + C01847 <=> C00084 + C00088 + C00061 + C00001,Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O,1.13.12.16,"['C18091', 'C00007', 'C01847']","['C00084', 'C00088', 'C00061', 'C00001']","[1, 1, 1]","[1, 1, 1, 1]"
21,R00026,cellobiose glucohydrolase,C00185 + C00001 <=> 2 C00221,Cellobiose + H2O <=> 2 beta-D-Glucose,3.2.1.21,"['C00185', 'C00001']",['C00221'],"[1, 1]",['2']
22,R00027,"2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)",C01408 <=> 2 C00261,Benzoin <=> 2 Benzaldehyde,4.1.2.38,['C01408'],['C00261'],[1],['2']
23,R00028,maltose glucohydrolase,C00208 + C00001 <=> 2 C00031,Maltose + H2O <=> 2 D-Glucose,3.2.1.20,"['C00208', 'C00001']",['C00031'],"[1, 1]",['2']
24,R00029,thiosulfate:ferricytochrome-c oxidoreductase,2 C00320 + 2 C00125 <=> C02084 + 2 C00126,2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c,1.8.2.2,"['C00320', 'C00125']","['C02084', 'C00126']","['2', '2']","[1, '2']"
25,R00031,"1,2-benzenediol:oxygen oxidoreductase",C00007 + 2 C00082 <=> 2 C00355,"Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine",1.10.3.1        1.14.18.1,"['C00007', 'C00082']",['C00355'],"[1, '2']",['2']
26,R00032,"beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)",C02094 + C00007 <=> 2 C00376,beta-Carotene + Oxygen <=> 2 Retinal,1.13.11.63,"['C02094', 'C00007']",['C00376'],"[1, 1]",['2']
27,R00033,thiamine:oxygen 5-oxidoreductase,C00378 + C00007 <=> C00027 + C05856,Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde,1.1.3.23,"['C00378', 'C00007']","['C00027', 'C05856']","[1, 1]","[1, 1]"
28,R00034,Cyclobutadipyrimidine (in DNA) pyrimidine-lyase,C03103 <=> 2 C08249,Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide,4.1.99.3,['C03103'],['C08249'],[1],['2']
29,R00036,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing,2 C00430 <=> C00931 + 2 C00001,2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O,4.2.1.24,['C00430'],"['C00931', 'C00001']",['2'],"[1, '2']"
30,R00038,4-hydroxy-3-hexanone propanal-lyase (propanal-forming),2 C00479 <=> C02948,2 Propanal <=> 4-Hydroxyhexan-3-one,4.1.2.35,['C00479'],['C02948'],['2'],[1]
31,R00039,raffinose:raffinose 1F-alpha-D-galactosyltransferase,2 C00492 <=> C08242 + C00089,2 Raffinose <=> Lychnose + Sucrose,2.4.1.166,['C00492'],"['C08242', 'C00089']",['2'],"[1, 1]"
32,R00041,long-chain-alcohol:oxygen oxidoreductase,2 C00339 + C00007 <=> 2 C00609 + 2 C00001,2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O,1.1.3.20,"['C00339', 'C00007']","['C00609', 'C00001']","['2', 1]","['2', '2']"
33,R00042,4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating),2 C01179 + C00007 <=> 2 C00642 + 2 C00011,2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2,1.2.3.13,"['C01179', 'C00007']","['C00642', 'C00011']","['2', 1]","['2', '2']"
34,R00043,"1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)",C04547 + C00007 <=> 2 C00755,"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde",1.13.11.43,"['C04547', 'C00007']",['C00755'],"[1, 1]",['2']
35,R00044,columbamine:oxygen oxidoreductase (cyclizing),2 C01795 + C00007 <=> 2 C00757 + 2 C00001,2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O,1.21.3.2,"['C01795', 'C00007']","['C00757', 'C00001']","['2', 1]","['2', '2']"
36,R00045,"3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase",C00007 + 2 C00355 <=> 2 C00822 + 2 C00001,"Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O",1.10.3.1        1.14.18.1,"['C00007', 'C00355']","['C00822', 'C00001']","[1, '2']","['2', '2']"
37,R00047,"6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)",C00007 + C01020 + C00030 <=> C01059 + C00011 + C00028 + C00001,"Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O",1.14.99.-,"['C00007', 'C01020', 'C00030']","['C01059', 'C00011', 'C00028', 'C00001']","[1, 1, 1]","[1, 1, 1, 1]"
38,R00048,(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase,C04546 + C00001 <=> 2 C01089,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate,3.1.1.22,"['C04546', 'C00001']",['C01089'],"[1, 1]",['2']
39,R00049,1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase,2 C01158 <=> C00031 + C04101,"2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose",2.3.1.90,['C01158'],"['C00031', 'C04101']",['2'],"[1, 1]"
40,R00052,chloride:hydrogen-peroxide oxidoreductase,C00027 + C01371 + C01327 <=> C01334 + 2 C00001,Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O,1.11.1.10,"['C00027', 'C01371', 'C01327']","['C01334', 'C00001']","[1, 1, 1]","[1, '2']"
41,R00053,digallate acylhydrolase,C01572 + C00001 <=> 2 C01424,Digallate + H2O <=> 2 Gallate,3.1.1.20,"['C01572', 'C00001']",['C01424'],"[1, 1]",['2']
42,R00054,orsellinate-depside hydrolase,C02868 + C00001 <=> 2 C01839,Lecanoric acid + H2O <=> 2 Orsellinate,3.1.1.40,"['C02868', 'C00001']",['C01839'],"[1, 1]",['2']
43,R00055,inosine:oxygen 5'-oxidoreductase,2 C00294 + C00007 <=> 2 C01993 + 2 C00001,2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O,1.1.3.28,"['C00294', 'C00007']","['C01993', 'C00001']","['2', 1]","['2', '2']"
44,R00056,dinucleotide nucleotidohydrolase,C01910 + C00001 <=> 2 C02171,Dinucleotide + H2O <=> 2 Mononucleotide,3.6.1.-,"['C01910', 'C00001']",['C02171'],"[1, 1]",['2']
45,R00057,thiol:oxygen oxidoreductase,C00007 + 2 C01525 <=> C02318 + C00027,Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide,1.8.3.2,"['C00007', 'C01525']","['C02318', 'C00027']","[1, '2']","[1, 1]"
46,R00058,catechol:oxygen oxidoreductase,C00007 + 2 C00090 <=> 2 C02351 + 2 C00001,Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O,1.10.3.1        1.14.18.1,"['C00007', 'C00090']","['C02351', 'C00001']","[1, '2']","['2', '2']"
47,R00059,N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase,C01255 + C00001 <=> 2 C02378,N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate,3.5.1.46,"['C01255', 'C00001']",['C02378'],"[1, 1]",['2']
48,R00060,"Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)",C00007 + 2 C00495 <=> 2 C03036 + 2 C00001,Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O,1.21.3.4,"['C00007', 'C00495']","['C03036', 'C00001']","[1, '2']","['2', '2']"
49,R00061,"sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)",C00007 + 2 C00495 <=> 2 C03040 + 2 C00001,Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O,1.21.3.5,"['C00007', 'C00495']","['C03040', 'C00001']","[1, '2']","['2', '2']"
50,R00062,bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase,2 C03374 <=> C00486 + C05787,2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide,,['C03374'],"['C00486', 'C05787']",['2'],"[1, 1]"
51,R00063,1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase,2 C01175 <=> C04275 + C00031,"2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucose + D-Glucose",2.3.1.103,['C01175'],"['C04275', 'C00031']",['2'],"[1, 1]"
52,R00066,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase",2 C04332 <=> C00255 + C04732,"2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil",2.5.1.9,['C04332'],"['C00255', 'C04732']",['2'],"[1, 1]"
53,R00067,Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),2 C05359 + 2 C00080 <=> C00282,2 e- + 2 H+ <=> Hydrogen,1.18.6.1,"['C05359', 'C00080']",['C00282'],"['2', '2']",[1]
54,R00068,L-ascorbate:oxygen oxidoreductase,C00007 + 2 C00072 <=> 2 C05422 + 2 C00001,Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O,1.10.3.3,"['C00007', 'C00072']","['C05422', 'C00001']","[1, '2']","['2', '2']"
55,R00069,4-imidazolone-5-propanoate:oxygen oxidoreductase,C05565 + C00027 <=> C03680 + C00007 + C00001,Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O,1.14.13.-       1.17.3.2,"['C05565', 'C00027']","['C03680', 'C00007', 'C00001']","[1, 1]","[1, 1, 1]"
56,R00070,D-urobilinogen:oxygen oxidoreductase,2 C05791 + C00007 <=> 2 C05795 + 2 C00001,2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O,,"['C05791', 'C00007']","['C05795', 'C00001']","['2', 1]","['2', '2']"
57,R00072,thiamine-aldehyde:oxygen 5-oxidoreductase,C05856 + C00007 + C00001 <=> C00027 + C02892,Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid,1.1.3.23,"['C05856', 'C00007', 'C00001']","['C00027', 'C02892']","[1, 1, 1]","[1, 1]"
58,R00073,reduced acceptor:prostaglandin G2 oxidoreductase,C00427 + C00028 + C00001 <=> C05956 + C00030,Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor,1.14.99.1,"['C00427', 'C00028', 'C00001']","['C05956', 'C00030']","[1, 1, 1]","[1, 1]"
59,R00074,2-aminophenol:oxygen oxidoreductase (dimerizing),4 C01987 + 3 C00007 <=> 2 C02161 + 6 C00001,4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O,1.10.3.4,"['C01987', 'C00007']","['C02161', 'C00001']","['4', '3']","['2', '6']"
60,R00075,S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase,3 C00019 <=> 3 C00170 + C05324,3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine,2.5.1.43,['C00019'],"['C00170', 'C05324']",['3'],"['3', 1]"
61,R00076,ATP:phosphorylase-b phosphotransferase,4 C00002 + 2 C02308 <=> 4 C00008 + C02307,4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a,2.7.11.19,"['C00002', 'C02308']","['C00008', 'C02307']","['4', '2']","['4', 1]"
62,R00077,[Phosphorylase a] phosphohydrolase,C02307 + 4 C00001 <=> 2 C02308 + 4 C00009,Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate,3.1.3.17,"['C02307', 'C00001']","['C02308', 'C00009']","[1, '4']","['2', '4']"
63,R00078,Fe(II):oxygen oxidoreductase,C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001,Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O,1.16.3.1,"['C00007', 'C14818', 'C00080']","['C14819', 'C00001']","[1, '4', '4']","['4', '2']"
64,R00080,Catechol:oxygen oxidoreductase (dimerizing),4 C00090 + 3 C00007 <=> 6 C00001 + 2 C03861,"4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione",1.1.3.14        1.10.3.1,"['C00090', 'C00007']","['C00001', 'C03861']","['4', '3']","['6', '2']"
65,R00081,ferrocytochrome-c:oxygen oxidoreductase,C00007 + 4 C00126 + 4 C00080 <=> 4 C00125 + 2 C00001,Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O,1.7.2.1         7.1.1.9,"['C00007', 'C00126', 'C00080']","['C00125', 'C00001']","[1, '4', '4']","['4', '2']"
66,R00082,ferrocytochrome c2:oxygen oxidoreductase,C00007 + 4 C01000 <=> 4 C00997 + 2 C00001,Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O,1.7.2.1         7.1.1.9,"['C00007', 'C01000']","['C00997', 'C00001']","[1, '4']","['4', '2']"
67,R00083,Benzenediol:oxygen oxidoreductase,C00007 + 4 C01785 <=> 4 C05309 + 2 C00001,Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O,1.10.3.2,"['C00007', 'C01785']","['C05309', 'C00001']","[1, '4']","['4', '2']"
68,R00084,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing),4 C00931 + C00001 <=> C01024 + 4 C00014,4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia,2.5.1.61,"['C00931', 'C00001']","['C01024', 'C00014']","['4', 1]","[1, '4']"
69,R00085,ATP diphosphohydrolase (phosphate-forming),C00002 + 2 C00001 <=> C00020 + 2 C00009,ATP + 2 H2O <=> AMP + 2 Orthophosphate,3.6.1.5,"['C00002', 'C00001']","['C00020', 'C00009']","[1, '2']","[1, '2']"
70,R00086,ATP phosphohydrolase,C00002 + C00001 <=> C00008 + C00009,ATP + H2O <=> ADP + Orthophosphate,3.6.1.5         3.6.1.8         3.6.1.15        3.6.1.-,"['C00002', 'C00001']","['C00008', 'C00009']","[1, 1]","[1, 1]"
71,R00087,ATP diphosphohydrolase (diphosphate-forming),C00002 + C00001 <=> C00020 + C00013,ATP + H2O <=> AMP + Diphosphate,3.6.1.8         3.6.1.9,"['C00002', 'C00001']","['C00020', 'C00013']","[1, 1]","[1, 1]"
