ID,Name,Type,Layer,FC,P_value
ETS1-1,,Gene,Transcriptome,,
ETS1-2,,Gene,Transcriptome,,
ETS2-1,,Gene,Transcriptome,,
ETS2-2,,Gene,Transcriptome,,
HRA1,,Gene,Transcriptome,,
ICR1,,Gene,Transcriptome,,
IRT1,,Gene,Transcriptome,,
ITS1-1,,Gene,Transcriptome,,
ITS1-2,,Gene,Transcriptome,,
ITS2-1,,Gene,Transcriptome,,
ITS2-2,,Gene,Transcriptome,,
LSR1,,Gene,Transcriptome,,
NME1,,Gene,Transcriptome,,
PWR1,,Gene,Transcriptome,,
Q0010,,Gene,Transcriptome,,
Q0017,,Gene,Transcriptome,,
Q0020,15S_RRNA,Gene,Transcriptome,,
Q0032,,Gene,Transcriptome,,
854598,COX1,Gene,Transcriptome,,
854593,AI1,Gene,Transcriptome,,
854594,AI2,Gene,Transcriptome,,
854595,AI3,Gene,Transcriptome,,
854596,AI4,Gene,Transcriptome,,
854597,AI5_ALPHA,Gene,Transcriptome,,
854599,AI5_BETA,Gene,Transcriptome,,
24573117,atp8,Gene,Transcriptome,,
854601,ATP6,Gene,Transcriptome,,
Q0092,,Gene,Transcriptome,,
854583,COB,Gene,Transcriptome,,
854604,BI2,Gene,Transcriptome,,
854605,BI3,Gene,Transcriptome,,
854582,BI4,Gene,Transcriptome,,
854584,OLI1,Gene,Transcriptome,,
854586,VAR1,Gene,Transcriptome,,
Q0142,,Gene,Transcriptome,,
Q0143,,Gene,Transcriptome,,
Q0144,,Gene,Transcriptome,,
Q0158,21S_RRNA,Gene,Transcriptome,,
854590,SCEI,Gene,Transcriptome,,
Q0182,,Gene,Transcriptome,,
854622,COX2,Gene,Transcriptome,,
854623,Q0255,Gene,Transcriptome,,
24573142,cox3,Gene,Transcriptome,,
Q0285,RPM1,Gene,Transcriptome,,
Q0297,,Gene,Transcriptome,,
RDN18-1,,Gene,Transcriptome,,
RDN18-2,,Gene,Transcriptome,,
RDN25-1,,Gene,Transcriptome,,
RDN25-2,,Gene,Transcriptome,,
RDN37-1,,Gene,Transcriptome,,
RDN37-2,,Gene,Transcriptome,,
RDN5-1,,Gene,Transcriptome,,
RDN5-2,,Gene,Transcriptome,,
RDN5-3,,Gene,Transcriptome,,
RDN5-4,,Gene,Transcriptome,,
RDN5-5,,Gene,Transcriptome,,
RDN5-6,,Gene,Transcriptome,,
RDN58-1,,Gene,Transcriptome,,
RDN58-2,,Gene,Transcriptome,,
RME2,,Gene,Transcriptome,,
RME3,,Gene,Transcriptome,,
RNA170,,Gene,Transcriptome,,
RPR1,,Gene,Transcriptome,,
RUF20,,Gene,Transcriptome,,
RUF21,,Gene,Transcriptome,,
RUF22,,Gene,Transcriptome,,
RUF23,,Gene,Transcriptome,,
RUF5-1,,Gene,Transcriptome,,
RUF5-2,,Gene,Transcriptome,,
SCR1,,Gene,Transcriptome,,
SRG1,,Gene,Transcriptome,,
851262,TFC3,Gene,Transcriptome,,
851261,VPS8,Gene,Transcriptome,,
851260,EFB1,Gene,Transcriptome,,
YAL004W,,Gene,Transcriptome,,
851259,SSA1,Gene,Transcriptome,,
851226,ERP2,Gene,Transcriptome,,
851225,FUN14,Gene,Transcriptome,,
851224,SPO7,Gene,Transcriptome,,
851223,MDM10,Gene,Transcriptome,,
851222,SWC3,Gene,Transcriptome,,
851221,CYS3,Gene,Transcriptome,,
851220,DEP1,Gene,Transcriptome,,
851219,SYN8,Gene,Transcriptome,,
851218,NTG1,Gene,Transcriptome,,
YAL016C-A,,Gene,Transcriptome,,
YAL016C-B,,Gene,Transcriptome,,
851217,TPD3,Gene,Transcriptome,,
851216,PSK1,Gene,Transcriptome,,
851215,LDS1,Gene,Transcriptome,,
YAL019W-A,,Gene,Transcriptome,,
851214,FUN30,Gene,Transcriptome,,
851213,ATS1,Gene,Transcriptome,,
851212,CCR4,Gene,Transcriptome,,
851211,FUN26,Gene,Transcriptome,,
851210,PMT2,Gene,Transcriptome,,
851209,LTE1,Gene,Transcriptome,,
851208,MAK16,Gene,Transcriptome,,
YAL026C-A,,Gene,Transcriptome,,
851207,DRS2,Gene,Transcriptome,,
A0A5Q2WV56,Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74),Protein,Proteome,,
E9P8D2,N-acetyltransferase MPR1 (EC 2.3.1.271) ((S)-1-pyrroline-5-carboxylate acetyltransferase) (L-azetidine-2-carboxylate acetyltransferase) (AZC acetyltransferase) (Sigma1278b gene for proline-analog resistance 1),Protein,Proteome,,
P04824,Alpha-galactosidase 1 (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase 1) (Melibiase 1),Protein,Proteome,,
P08405,Transposon TyH3 Gag polyprotein (Gag-p49) (Transposon Ty1-H3 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4],Protein,Proteome,,
P0CS82,Heme-responsive zinc finger transcription factor HAP1 (CYP1 activatory protein) (Heme activator protein 1),Protein,Proteome,,
P0CS91,"Import motor subunit, mitochondrial (EC 3.6.4.10) (Endonuclease SceI 75 kDa subunit) (Endo.SceI 75 kDa subunit) (Heat shock protein SSC1, mitochondrial) (mtHSP70)",Protein,Proteome,,
P12294,Endonuclease SceI small subunit (EC 3.1.21.-) (Endo.SceI 50 kDa subunit) (Maturase-like RF3 protein),Protein,Proteome,,
Q07163,Transposon TyH3 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1-H3 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)],Protein,Proteome,,
A0A140KF01,Fatty acid synthase subunit alpha (EC 2.3.1.86) [Includes: 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41)],Protein,Proteome,,
A0A166MTJ5,Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74),Protein,Proteome,,
A2P2P7,TY2A-TY2B (Transposon Ty2 TYA-TYB polyprotein),Protein,Proteome,,
E9P974,"GTP:AMP phosphotransferase, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3)",Protein,Proteome,,
G4XS49,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS50,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS55,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS65,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS68,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS72,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS73,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS74,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS77,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS82,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS85,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XS87,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
G4XSB4,Phosphotransferase (EC 2.7.1.-),Protein,Proteome,,
M4WIW8,Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74),Protein,Proteome,,
P04065,"Glucoamylase S1 (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (GAI) (Glucan 1,4-alpha-glucosidase)",Protein,Proteome,,
A0A023VU52,Sulfite reductase [NADPH] subunit beta (EC 1.8.1.2),Protein,Proteome,,
A0A0G3F494,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0G3F7T2,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0H3WHE5,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0H3WHT9,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0H3WHW1,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0H3WI17,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0H3WI28,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0H3WJ84,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0H3WJN5,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0H3WJY3,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A0P0BRV9,Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase),Protein,Proteome,,
A0A0P0C0N3,Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase),Protein,Proteome,,
A0A0S2ZXC6,TyB,Protein,Proteome,,
A0A142F3P2,E3 ubiquitin-protein ligase (EC 2.3.2.27),Protein,Proteome,,
A0A1L4A9Y3,"CCA tRNA nucleotidyltransferase, mitochondrial (EC 2.7.7.72) (CCA-adding enzyme) (tRNA CCA-pyrophosphorylase) (tRNA adenylyltransferase) (tRNA nucleotidyltransferase)",Protein,Proteome,,
A0A343UW61,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A343UW75,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A343UW86,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0A387JUB2,Transketolase (EC 2.2.1.1),Protein,Proteome,,
A0A8A5L9J5,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),Protein,Proteome,,
A0ABF7PIN1,DNA replication licensing factor MCM2 (EC 3.6.4.12) (DNA replication licensing factor mcm2) (Minichromosome maintenance protein 2),Protein,Proteome,,
A0ABF7PIP0,DNA replication licensing factor MCM7 (EC 3.6.4.12),Protein,Proteome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
,,Metabolite,Metabolome,,
